key,korean_text,occurrence_count,locations
app.미정,미정,6,web/app.js:5742 | web/app.js:5862 | web/app.js:5872 | web/app.js:7375 | web/app.js:11800
app.씬_id,씬 #${id},6,web/app.js:8829 | web/app.js:17159 | web/app.js:25364 | web/app.js:25608 | web/app.js:42069
app.캐릭터,캐릭터,6,web/app.js:14490 | web/app.js:15108 | web/app.js:15249 | web/app.js:18732 | web/index.html:719
app.글자_수,글자 수,6,web/app.js:18079 | web/app.js:18092 | web/app.js:18105 | web/index.html:1676 | web/index.html:1676
app.문장_다듬기,문장 다듬기,6,web/app.js:19044 | web/app.js:20353 | web/app.js:41726 | web/index.html:2475 | web/index.html:3352
app.피드백_요청,피드백 요청,6,web/app.js:19050 | web/app.js:19051 | web/index.html:1379 | web/index.html:2352 | web/index.html:2469
app.손가락_놀이터,손가락 놀이터,6,web/app.js:21662 | web/index.html:3580 | web/index.html:3743 | web/index.html:3750 | web/index.html:3750
app.설정,설정,6,web/app.js:26552 | web/app.js:27909 | web/app.js:27933 | web/app.js:27937 | web/index.html:3015
app.다음,다음,6,web/app.js:42137 | web/app.js:48018 | web/index.html:1100 | web/index.html:1563 | web/index.html:1563
app.새_캐릭터,새 캐릭터,6,web/app.js:42727 | web/app.js:42731 | web/app.js:43678 | web/app.js:43682 | web/index.html:728
app.관리자_모드,관리자 모드,6,web/app.js:47696 | web/index.html:847 | web/index.html:847 | web/index.html:847 | web/index.html:847
index.키워드_태그_선택,키워드 태그 선택,6,web/index.html:578 | web/index.html:578 | web/index.html:4066 | web/index.html:4066 | web/index.html:4210
index.테마_선택,테마 선택,6,web/index.html:857 | web/index.html:857 | web/index.html:858 | web/index.html:858 | web/index.html:914
index.글자_서식,글자 서식,6,web/index.html:1106 | web/index.html:1106 | web/index.html:1180 | web/index.html:1180 | web/index.html:2134
index.취소선,취소선,6,web/index.html:1184 | web/index.html:1184 | web/index.html:2138 | web/index.html:2138 | web/index.html:2138
index.형광펜,형광펜,6,web/index.html:1195 | web/index.html:1195 | web/index.html:2148 | web/index.html:2148 | web/index.html:2735
index.분할,분할,6,web/index.html:1497 | web/index.html:1497 | web/index.html:1505 | web/index.html:1834 | web/index.html:1834
index.끌어_이동,끌어 이동,6,web/index.html:1722 | web/index.html:1722 | web/index.html:2961 | web/index.html:2961 | web/index.html:2979
index.위쪽_크기_조절,위쪽 크기 조절,6,web/index.html:1961 | web/index.html:1961 | web/index.html:2967 | web/index.html:2967 | web/index.html:2995
index.아래쪽_크기_조절,아래쪽 크기 조절,6,web/index.html:1962 | web/index.html:1962 | web/index.html:2968 | web/index.html:2968 | web/index.html:2996
index.오른쪽_크기_조절,오른쪽 크기 조절,6,web/index.html:1963 | web/index.html:1963 | web/index.html:2969 | web/index.html:2969 | web/index.html:2997
index.왼쪽_크기_조절,왼쪽 크기 조절,6,web/index.html:1964 | web/index.html:1964 | web/index.html:2970 | web/index.html:2970 | web/index.html:2998
index.오른쪽_위_크기_조절,오른쪽 위 크기 조절,6,web/index.html:1965 | web/index.html:1965 | web/index.html:2971 | web/index.html:2971 | web/index.html:2999
index.왼쪽_위_크기_조절,왼쪽 위 크기 조절,6,web/index.html:1966 | web/index.html:1966 | web/index.html:2972 | web/index.html:2972 | web/index.html:3000
index.오른쪽_아래_크기_조절,오른쪽 아래 크기 조절,6,web/index.html:1967 | web/index.html:1967 | web/index.html:2973 | web/index.html:2973 | web/index.html:3001
index.왼쪽_아래_크기_조절,왼쪽 아래 크기 조절,6,web/index.html:1968 | web/index.html:1968 | web/index.html:2974 | web/index.html:2974 | web/index.html:3002
index.스며듦_검사_결과,스며듦 검사 결과,6,web/index.html:2580 | web/index.html:2580 | web/index.html:3193 | web/index.html:3193 | web/index.html:3905
index.기준_회차,기준 회차,6,web/index.html:5471 | web/index.html:5504 | web/index.html:5576 | web/index.html:5648 | web/index.html:5692
index.다중_회차_선택,다중 회차 선택,6,web/index.html:5671 | web/index.html:5671 | web/index.html:5712 | web/index.html:5712 | web/index.html:5753
app.작품소개_기획의도,작품소개·기획의도,5,web/app.js:506 | web/app.js:510 | web/app.js:7367 | web/app.js:18706 | web/index.html:423
app.로그라인_시놉시스,로그라인·시놉시스,5,web/app.js:514 | web/app.js:518 | web/app.js:7368 | web/app.js:18719 | web/index.html:454
app.기획의도,기획의도,5,web/app.js:534 | web/app.js:540 | web/app.js:18715 | web/index.html:440 | web/index.html:2271
app.검정,검정,5,web/app.js:1250 | web/index.html:4536 | web/index.html:4536 | web/index.html:4536 | web/index.html:4536
app.장평,장평,5,web/app.js:3243 | web/index.html:1164 | web/index.html:1164 | web/index.html:2119 | web/index.html:2119
app.서식,서식,5,web/app.js:3244 | web/index.html:1108 | web/index.html:1108 | web/index.html:2065 | web/index.html:2065
app.주인공,주인공,5,web/app.js:5547 | web/app.js:11722 | web/app.js:11816 | web/app.js:42464 | web/index.html:1988
app.조연,조연,5,web/app.js:5547 | web/app.js:11724 | web/app.js:11818 | web/app.js:42466 | web/index.html:1990
app.단역,단역,5,web/app.js:5547 | web/app.js:11725 | web/app.js:11819 | web/app.js:42467 | web/index.html:1991
app.일반소설,일반소설,5,web/app.js:5549 | web/index.html:509 | web/index.html:518 | web/index.html:4031 | web/index.html:4175
app.떡밥,떡밥,5,web/app.js:7351 | web/app.js:25892 | web/app.js:25947 | web/app.js:47968 | web/index.html:2822
app.편집_중,편집 중,5,web/app.js:7950 | web/app.js:7974 | web/app.js:7977 | web/app.js:24527 | web/app.js:44137
app.피드백_요청_중,피드백 요청 중…,5,web/app.js:9096 | web/app.js:9169 | web/app.js:9291 | web/app.js:9782 | web/app.js:12972
app.브레인스토밍_중,브레인스토밍 중…,5,web/app.js:10693 | web/app.js:10697 | web/app.js:10756 | web/app.js:10760 | web/app.js:12978
app.반전_개연성_검사기,반전 & 개연성 검사기,5,web/app.js:12573 | web/app.js:12589 | web/app.js:19054 | web/app.js:20331 | web/app.js:20464
app.결과를_복사했어요,결과를 복사했어요.,5,web/app.js:13298 | web/app.js:13302 | web/app.js:13613 | web/app.js:19845 | web/app.js:41765
app.복사에_실패했어요,복사에 실패했어요.,5,web/app.js:13615 | web/app.js:18573 | web/app.js:23359 | web/app.js:23931 | web/app.js:41767
app.회차_id,회차 #${id},5,web/app.js:16291 | web/app.js:45394 | web/app.js:45394 | web/app.js:45407 | web/app.js:45411
app.알림,알림,5,web/app.js:16911 | web/app.js:17062 | web/app.js:25890 | web/app.js:25892 | web/app.js:25955
app.흥행작_프로파일_연결,흥행작 프로파일 연결,5,web/app.js:18702 | web/app.js:18750 | web/index.html:763 | web/index.html:763 | web/index.html:768
app.브레인스토밍,브레인스토밍,5,web/app.js:19049 | web/app.js:19052 | web/app.js:20339 | web/index.html:2468 | web/index.html:5603
app.세계관_묘사,세계관 묘사,5,web/app.js:19057 | web/app.js:20361 | web/index.html:2476 | web/index.html:3399 | web/index.html:3399
app.글럼프_응급실,글럼프 응급실,5,web/app.js:19063 | web/index.html:2481 | web/index.html:3538 | web/index.html:3541 | web/index.html:3541
app.투고_공모전용_시놉시스,투고·공모전용 시놉시스,5,web/app.js:19067 | web/app.js:20368 | web/index.html:2477 | web/index.html:3406 | web/index.html:3406
app.원고_내용이_너무_짧아요_조금_더_써주시면,"원고 내용이 너무 짧아요, 조금 더 써주시면 맥락을 파악할 수 있어요",5,web/app.js:22876 | web/app.js:22936 | web/app.js:23044 | web/app.js:23160 | web/app.js:23221
app.이름,이름,5,web/app.js:23446 | web/app.js:36735 | web/app.js:42726 | web/app.js:43677 | web/index.html:5993
app.수집,수집,5,web/app.js:23869 | web/index.html:810 | web/index.html:2569 | web/index.html:2787 | web/index.html:3196
app.폴더를_찾지_못했어요,폴더를 찾지 못했어요.,5,web/app.js:27397 | web/app.js:27487 | web/app.js:27498 | web/app.js:27705 | web/app.js:35102
app.이_폴더,이 폴더,5,web/app.js:27402 | web/app.js:27402 | web/app.js:27408 | web/app.js:37982 | web/app.js:37982
app.테마색,테마색,5,web/app.js:28300 | web/index.html:4772 | web/index.html:4772 | web/index.html:4772 | web/index.html:4772
app.등장_인물,등장 인물,5,web/app.js:30752 | web/app.js:42485 | web/app.js:42495 | web/index.html:1322 | web/index.html:1322
app.기능,기능,5,web/app.js:30972 | web/app.js:47175 | web/app.js:47296 | web/index.html:1723 | web/index.html:4827
app.다듬은_결과,다듬은 결과,5,web/app.js:40867 | web/app.js:40953 | web/app.js:40969 | web/app.js:41343 | web/index.html:3890
app.스며듦_검사하기,스며듦 검사하기,5,web/app.js:41044 | web/app.js:41154 | web/index.html:2578 | web/index.html:3191 | web/index.html:3903
app.복사,복사,5,web/app.js:41399 | web/index.html:2570 | web/index.html:3197 | web/index.html:3860 | web/index.html:3909
app.분할_다른_회차를_화면_나누기_또는_팝업으로,분할: 다른 회차를 화면 나누기 또는 팝업으로 엽니다 (Ctrl+Alt+S / Ctrl+Alt+P),5,web/app.js:44374 | web/index.html:1496 | web/index.html:1496 | web/index.html:5216 | web/index.html:5216
app.가져오기,가져오기,5,web/app.js:46032 | web/app.js:46052 | web/app.js:46505 | web/app.js:46535 | web/index.html:4318
app.휴지통,휴지통,5,web/app.js:47678 | web/index.html:4852 | web/index.html:5080 | web/index.html:5080 | web/index.html:5084
app.다크_모드,다크 모드,5,web/app.js:48165 | web/index.html:4793 | web/index.html:4793 | web/index.html:4793 | web/index.html:4793
index.세피아,세피아,5,web/index.html:4784 | web/index.html:4784 | web/index.html:4784 | web/index.html:4784 | web/index.html:5385
app.작품소개,작품소개,4,web/app.js:525 | web/app.js:531 | web/index.html:432 | web/index.html:2254
app.로그라인,로그라인,4,web/app.js:552 | web/app.js:558 | web/app.js:18730 | web/index.html:463
app.단어,단어,4,web/app.js:900 | web/app.js:1064 | web/app.js:1988 | web/index.html:1679
app.자,자,4,web/app.js:1064 | web/app.js:1988 | web/index.html:5166 | web/index.html:5172
app.토리,토리,4,web/app.js:1239 | web/app.js:19071 | web/app.js:22488 | web/index.html:4869
app.비슷하지만_다른_표현을_찾고_싶을_때_유용해,비슷하지만 다른 표현을 찾고 싶을 때 유용해요.,4,web/app.js:2353 | web/app.js:2519 | web/app.js:2572 | web/index.html:1590
app.대립_인물,대립 인물,4,web/app.js:5547 | web/app.js:11723 | web/app.js:11817 | web/index.html:1989
app.단편,단편,4,web/app.js:5552 | web/app.js:5718 | web/index.html:4034 | web/index.html:4178
app.메인_장르,메인 장르,4,web/app.js:5959 | web/app.js:36788 | web/index.html:4048 | web/index.html:4192
app.서브_장르,서브 장르,4,web/app.js:6009 | web/app.js:36789 | web/index.html:4053 | web/index.html:4197
app.하위_장르,하위 장르,4,web/app.js:6227 | web/app.js:6232 | web/index.html:545 | web/index.html:554
app.이름_없음,이름 없음,4,web/app.js:7399 | web/app.js:8005 | web/app.js:28018 | web/app.js:42530
app.저장_대기_중,저장 대기 중…,4,web/app.js:7676 | web/app.js:8156 | web/app.js:43170 | web/app.js:44159
app.피드백_중,피드백 중…,4,web/app.js:9092 | web/app.js:9165 | web/app.js:9287 | web/app.js:9778
app.선택한_회차_원고가_비어_있어요,선택한 회차 원고가 비어 있어요.,4,web/app.js:9222 | web/app.js:9273 | web/app.js:9669 | web/app.js:11524
app.현재_열린_회차가_없어요_다른_회차를_지정해,현재 열린 회차가 없어요. 다른 회차를 지정해 주세요.,4,web/app.js:10328 | web/app.js:10457 | web/app.js:10585 | web/app.js:19441
app.설정_붕괴_감지기,설정 붕괴 감지기,4,web/app.js:11178 | web/index.html:1383 | web/index.html:2463 | web/index.html:5727
app.검사_중,검사 중…,4,web/app.js:11427 | web/app.js:11544 | web/app.js:11643 | web/app.js:33480
app.요청_내용,요청 내용,4,web/app.js:12139 | web/app.js:13675 | web/index.html:2522 | web/index.html:3247
app.예_6장_단서가_너무_약하니_더_날카롭게_짚,예: 6장 단서가 너무 약하니 더 날카롭게 짚어 줘.,4,web/app.js:12570 | web/app.js:20327 | web/index.html:3414 | web/index.html:3414
app.결과,결과,4,web/app.js:13476 | web/app.js:13501 | web/index.html:2537 | web/index.html:3855
app.저장_중,저장 중…,4,web/app.js:14319 | web/app.js:24381 | web/app.js:42624 | web/app.js:43159
app.이전_대화,이전 대화,4,web/app.js:15008 | web/app.js:15008 | web/app.js:15041 | web/app.js:15120
app.p_class_hint_가상_독자를_불러오,"<p class=""hint"">가상 독자를 불러오지 못했어요.</p>",4,web/app.js:16142 | web/app.js:16390 | web/app.js:16396 | web/app.js:16575
app.이_회차,이 회차,4,web/app.js:17049 | web/app.js:45549 | web/app.js:45743 | web/index.html:4713
app.집필_시간,집필 시간,4,web/app.js:18080 | web/app.js:18093 | web/app.js:18106 | web/index.html:3067
app.떡밥모음,떡밥모음,4,web/app.js:18700 | web/app.js:18740 | web/index.html:739 | web/index.html:5794
app.참고자료_출처,참고자료·출처,4,web/app.js:18733 | web/app.js:18777 | web/index.html:819 | web/index.html:1798
app.메모,+ 메모,4,web/app.js:18770 | web/index.html:413 | web/index.html:807 | web/index.html:996
app.비우기,비우기,4,web/app.js:18772 | web/index.html:808 | web/index.html:1046 | web/index.html:3259
app.회차_요약,회차 요약,4,web/app.js:19045 | web/app.js:19046 | web/index.html:2459 | web/index.html:5686
app.다음_아이디어_제안,다음 아이디어 제안,4,web/app.js:19047 | web/app.js:19048 | web/index.html:2467 | web/index.html:5570
app.흥행_공식_분석_2,흥행 공식 분석,4,web/app.js:19061 | web/app.js:21503 | web/index.html:2480 | web/index.html:3428
app.10분_뇌_빼고_쓰기,10분 뇌 빼고 쓰기,4,web/app.js:21655 | web/index.html:3560 | web/index.html:3632 | web/index.html:3793
app.럭키_문장_뽑기,럭키 문장 뽑기,4,web/app.js:21659 | web/index.html:3572 | web/index.html:3629 | web/index.html:3712
